time,length,width,failures,name
1/8/2024,6.267736613,85.3467976,failure2,Angela
12/4/2023,22.1635246,62.80620747,failure2,Steven
3/15/2024,44.93143016,67.87175329,failure0,Kara
3/30/2024,20.41370975,35.88852685,failure0,Kathleen
12/19/2023,34.98401951,28.81577621,failure0,David
4/18/2024,7.048361918,36.38011751,failure0,Daniel
2/22/2024,2.712817948,70.55394003,failure0,Jasmine
3/6/2024,6.365064884,65.49642721,failure0,Lori
12/1/2023,44.73757051,24.35809109,failure5,Daniel
12/6/2023,3.308440916,56.12265255,failure0,Christopher
3/27/2024,40.29943982,16.99220275,failure0,Jeffrey
3/5/2024,28.81826023,7.603988991,failure0,Katherine
4/2/2024,45.82720821,1.219250005,failure0,Misty
12/15/2023,88.91518533,76.20229884,failure1,Jim
1/21/2024,5.791628373,53.04289495,failure0,Annette
12/30/2023,40.12152156,15.16577326,failure0,Donald
3/8/2024,47.82570427,87.76075989,failure0,John
2/28/2024,12.90893737,72.28092869,failure0,Emily
2/24/2024,2.48187054,88.62261595,failure0,Jennifer
3/10/2024,6.795261852,85.17328535,failure0,Kyle
1/24/2024,49.73892041,28.08200974,failure0,Debbie
3/18/2024,97.21471226,89.92666882,failure0,Raymond
1/31/2024,19.09806609,24.97844374,failure2,
12/17/2023,4.22898425,67.43644191,failure0,Steven
12/19/2023,1.212583472,2.498618209,failure0,Ashley
1/23/2024,18.17956815,,failure0,Christopher
2/14/2024,24.36355513,65.94344094,failure0,Pamela
1/1/2024,11.52611806,11.07524419,failure0,Robert
2/25/2024,13.72453544,32.33133431,failure0,David
3/4/2024,17.30434484,49.12457311,failure0,
4/17/2024,22.22878257,57.74188673,failure0,Gary
4/13/2024,63.59069395,0.791435652,failure5,Vanessa
2/22/2024,,17.5710861,failure0,
1/22/2024,46.72190954,52.62335303,failure0,Miguel
1/28/2024,23.67073469,41.47801787,failure0,Fernando
3/22/2024,,140.6519341,failure0,Carmen
1/8/2024,9.195646629,178.7040714,failure0,Heather
3/2/2024,45.58985975,166.9111829,failure0,Corey
3/11/2024,,84.48719387,failure0,John
2/3/2024,23.97655058,84.97182667,failure4,Brittany
12/9/2023,8.241587099,93.13306701,failure3,
4/2/2024,42.36789285,96.63906869,failure0,Jessica
12/30/2023,13.76235174,10.08723626,failure0,Nicholas
3/1/2024,28.01940186,95.66963327,failure0,Mary
12/11/2023,9.931984181,23.19905985,failure0,James
1/27/2024,13.96948775,31.86630708,failure0,Sandra
4/5/2024,2.291817177,16.28550062,failure0,Samantha
12/25/2023,36.39994229,64.40065602,failure0,Michael
3/30/2024,6.992270509,41.07864479,failure2,Shawn
4/11/2024,96.92327768,82.82017349,failure0,Lisa
4/19/2024,0.531782807,20.46644864,failure1,Kevin
2/2/2024,69.56793953,94.77165814,failure0,Jennifer
2/8/2024,9.084240265,37.03844849,failure5,Bradley
4/11/2024,37.37840953,194.6843975,failure4,Olivia
1/6/2024,3.111125745,194.8208397,failure0,David
12/13/2023,32.15982028,24.17588548,failure0,William
1/28/2024,25.89360807,60.66329477,failure0,Vanessa
3/17/2024,15.53182028,155.3966512,failure0,Scott
1/9/2024,44.88905146,1.455490514,failure5,Joseph
3/14/2024,48.73225116,30.16867322,failure0,John
2/27/2024,18.29895354,180.3985912,failure0,Anthony
1/15/2024,13.56547851,67.89963797,,Christina
12/28/2023,39.62661804,21.99235592,failure0,Ana
1/22/2024,5.04991582,66.13619501,failure3,Pamela
3/8/2024,40.72180586,75.15963482,failure0,Wendy
12/16/2023,6.85486418,44.12392829,failure0,Jane
2/7/2024,31.73414494,40.86560632,failure0,Carol
4/6/2024,17.99613268,65.16092555,failure0,Kevin
4/8/2024,12.75853929,69.33616553,failure0,Stacy
2/19/2024,28.2001775,41.55424151,failure0,Ashley
12/23/2023,42.78478955,78.8984151,failure5,Jeffrey
1/19/2024,42.63234994,8.850201532,failure0,Patrick
3/29/2024,,94.89512471,failure0,Kimberly
1/2/2024,13.46573138,193.4064647,failure1,Jimmy
4/7/2024,2.38881927,46.55650053,failure0,
3/1/2024,32.3887461,82.20934756,failure0,Victor
2/18/2024,5.018138131,57.37146664,failure0,Desiree
12/2/2023,,44.51400544,failure5,John
3/18/2024,3.275713327,17.16608301,failure4,Willie
12/7/2023,44.41495837,98.58267858,failure0,Drew
2/6/2024,38.9161149,83.9406963,failure0,Willie
2/18/2024,45.05759013,4.546932878,failure0,Benjamin
12/15/2023,17.45626484,8.035199415,failure0,Shannon
3/27/2024,11.27640051,39.22271783,failure0,Alexander
3/15/2024,17.77075083,52.93518318,failure2,Chad
2/4/2024,,50.38933459,failure0,Susan
12/22/2023,6.505383213,1.83103812,failure0,
3/17/2024,29.90756992,83.03860301,failure0,Kevin
1/21/2024,16.24880625,40.05437597,failure0,Lisa
3/8/2024,,7.262908274,failure0,Andrew
1/31/2024,5.794160189,95.27552187,failure0,Matthew
2/7/2024,0.158445288,71.96273702,failure0,Corey
3/27/2024,16.00115186,3.465846578,failure0,Brian
3/28/2024,16.6274682,20.71969956,failure0,Nicole
2/15/2024,10.48887199,16.72190017,failure0,Christopher
1/12/2024,2.592912047,26.45331464,failure2,Daniel
12/30/2023,17.56290547,19.74661335,failure5,Patrick
12/14/2023,83.73275456,8.403850954,,Billy
12/15/2023,,15.71617292,failure0,
2/3/2024,,,failure0,James
12/14/2023,34.98302049,23.51554993,failure0,Kelli
2/26/2024,24.34771348,45.20829384,failure0,William
1/31/2024,12.29277702,32.8428633,failure2,Eric
1/14/2024,23.49071363,140.9568362,failure5,Tiffany
1/2/2024,32.13079929,81.63623649,failure0,Rhonda
3/16/2024,42.21194783,71.05359441,failure5,Diana
1/2/2024,42.59485344,5.574860803,failure0,Linda
3/31/2024,45.16036068,,failure0,Patricia
1/18/2024,,145.8864246,failure0,Vincent
3/9/2024,5.630103103,17.74461469,failure0,Miguel
2/7/2024,25.03184062,148.3970355,failure0,
3/9/2024,27.62928702,37.47742849,failure0,Michael
12/26/2023,3.86014462,28.46179309,failure5,Melanie
1/7/2024,23.5390111,91.66626792,failure0,Sarah
2/3/2024,96.16403132,15.21064566,failure0,Caleb
2/22/2024,18.73717207,49.68263508,failure1,Kayla
2/14/2024,47.30400251,1.010881357,failure0,Melissa
3/10/2024,13.14966699,70.56199137,failure0,Keith
1/9/2024,87.01157112,31.87381639,failure4,Ashley
2/20/2024,12.6733848,20.03100913,failure0,Monica
4/11/2024,31.82360289,23.48056733,failure0,Hannah
3/29/2024,8.093910309,58.65533012,failure0,Cheryl
2/19/2024,47.78303219,66.13718693,failure0,Christina
12/30/2023,47.63656915,72.02008665,failure0,Valerie
2/21/2024,24.78262765,58.46103944,failure3,Danielle
2/29/2024,47.1024299,10.79336554,failure0,Kelly
2/10/2024,11.98905504,91.02212205,failure0,Derrick
4/5/2024,37.66381836,68.5264083,failure0,Jessica
3/21/2024,12.74045653,70.8407441,failure0,Heather
12/9/2023,40.86891648,86.26582846,failure2,Deanna
12/16/2023,31.6324678,66.21482237,failure0,Rebecca
3/1/2024,16.81649045,31.03887959,failure0,Linda
3/24/2024,36.31234374,50.50974281,failure0,Kevin
12/7/2023,38.65907819,26.35929974,failure0,Brian
1/31/2024,16.03919734,38.16416273,failure0,Latasha
12/17/2023,23.48915193,76.3002895,failure0,Jerry
4/16/2024,15.70463257,7.777564016,failure0,Johnny
12/21/2023,46.9419692,37.97152325,failure0,Joshua
3/5/2024,42.74757022,92.85449166,failure0,Elizabeth
1/14/2024,21.48724315,120.1221977,failure0,Franklin
3/28/2024,22.15818711,194.8482486,failure1,Robert
2/25/2024,37.62107764,47.03994179,failure0,Christina
1/31/2024,45.58878673,195.5061768,failure0,Brian
12/2/2023,34.94219272,133.7075099,failure0,Gabriela
4/8/2024,5.388169044,57.64718535,failure0,Kathleen
3/20/2024,35.4342667,55.02829056,failure4,Randall
1/9/2024,10.07969587,31.77101251,failure0,Michelle
2/1/2024,20.19489162,86.42641256,failure0,Steven
12/20/2023,34.75854075,79.00257372,failure0,Sandra
4/10/2024,22.41511349,43.5309062,failure0,Kenneth
2/10/2024,79.69818791,44.13405355,failure0,Kendra
4/7/2024,17.03193123,74.62091963,failure0,Michael
1/10/2024,68.47852062,69.77591665,failure0,Jennifer
3/31/2024,41.19457971,13.78480314,failure0,Joshua
2/19/2024,48.78803198,58.66186144,failure0,Jeffery
3/3/2024,1.50512677,23.66659431,failure0,James
2/26/2024,46.44099758,3.206069684,failure0,Jeffrey
3/18/2024,8.433006313,10.85654828,failure0,Nathan
3/16/2024,38.67828706,31.04307818,failure1,Linda
3/3/2024,15.61060109,46.32696933,failure0,Robert
1/11/2024,37.5942731,31.2410522,failure0,Vanessa
2/29/2024,5.217022345,80.50910432,failure5,Melissa
12/23/2023,43.03670204,32.71221285,failure0,Carolyn
3/10/2024,99.31077185,98.60807971,failure0,Martin
2/12/2024,9.873876605,165.1467603,failure0,Christopher
1/27/2024,45.640899,44.70658329,failure0,Morgan
2/9/2024,8.777780588,18.15567763,failure0,Lindsay
1/27/2024,47.3847405,33.42475838,failure0,Scott
3/2/2024,17.63834288,67.28298656,failure2,Lori
12/16/2023,94.92097805,54.36463942,failure0,William
12/28/2023,42.33348884,41.23070063,failure0,Kara
3/22/2024,45.01236833,71.77667427,failure3,Jessica
1/11/2024,33.16308786,41.68778779,failure0,Paul
4/20/2024,9.665412695,144.6952865,failure0,Mason
2/10/2024,38.60369972,2.370825295,failure4,Jacob
12/21/2023,88.91396398,88.27517508,failure0,David
3/4/2024,8.287337229,173.9922058,failure2,Tiffany
3/9/2024,11.97613985,82.51598365,failure0,Julian
2/11/2024,20.6127717,25.63534169,failure0,Tiffany
12/8/2023,36.34770413,95.01184576,failure0,Jennifer
1/20/2024,30.91598914,63.36784056,failure0,Adam
4/2/2024,81.59201569,67.10963607,failure0,William
1/22/2024,94.74977408,55.91567959,failure0,Melanie
3/17/2024,34.52338281,88.5063334,failure0,Christine
3/4/2024,21.77468426,97.00058096,failure5,John
12/23/2023,49.35800735,8.588393943,failure0,Chad
2/9/2024,24.68679964,133.6276738,failure0,Brianna
2/10/2024,87.2206142,75.50100349,failure0,Joseph
4/10/2024,34.04052286,7.508753057,failure0,Julia
1/1/2024,6.081121952,1.206026659,failure0,Nicholas
12/28/2023,20.81827239,20.34542288,failure2,Brian
2/9/2024,92.87400348,29.21541173,failure0,Blake
3/14/2024,47.14075506,91.19578937,failure0,William
2/26/2024,14.87663166,72.1430146,failure0,Teresa
12/28/2023,26.46214608,39.54526784,failure0,Christopher
2/7/2024,73.48735221,70.90563625,failure0,Heidi
2/17/2024,17.3986408,15.41155963,failure0,Elizabeth
3/29/2024,22.32647387,146.8686147,failure4,Laura
1/10/2024,65.3370312,97.44924993,failure0,John
1/20/2024,13.64421897,38.95563976,failure0,Jennifer
